"artist_full_name","art_title","art_location_name","art_location_street_address","art_location_city","art_location_state","art_location_zip","art_full_address","art_location_long","art_location_lat"
"Joe Perez","Big Arch","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Deborah EveLewis","Elevated Prairie","Central/East Austin Police/Forensics Lab","812 Springdale Road;","Austin","TX",78702,"812 Springdale Road Austin TX 78702",-97.7002459,30.2592327
"Bill Davenport","Giant Mushroom Forest","Auditorium Shores",";","Austin","Texas",78701," Austin Texas 78701",-97.7443863,30.2729209
"Philippe Klinefelter","Medicinal Plant Wall","Far Southeast EMS Station","5811 Nuckols Crossing Rd.;","Austin","TX",78744,"5811 Nuckols Crossing Rd. Austin TX 78744",-97.7422926,30.1872469
"Wanda Gamble","Hidden Canyon","Texas Cancer Center at Brackenridge Hospital","601 E 15th St.; 9th Floor","Austin","TX",78701,"601 E 15th St. 9th Floor Austin TX 78701",-97.7337166,30.274006
"Lizzie Martinez","formation; language; memory","Susanna Dickinson House","Brush Square Park; 409 East Fifth Street","Austin","TX",78701,"Brush Square Park 409 East Fifth Street Austin TX 78701",-97.7390392,30.2654445
"Courtney Enriquez","A Dream","Dove Springs Recreation Center","5801 Ainez Dr.;","Austin","TX",78744,"5801 Ainez Dr. Austin TX 78744",-97.7382205,30.1877072
"Armando Martinez","Signs of the Times","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Connie Arismendi","El futuro es una página en blanco. ¿Qué escribirás en ella?","Terrazas Branch Library","1105 E. Cesar Chavez Street;","Austin","TX",78702,"1105 E. Cesar Chavez Street Austin TX 78702",-97.7334621,30.2599154
"Garth Edwards","Untitled","Conley-Guerrero Senior Activity Center","808 Nile Rd.;","Austin","TX",78702,"808 Nile Rd. Austin TX 78702",-97.711166,30.2656491
"John PatrickCobb","O. Henry at Cards","O. Henry Museum","409 East Fifth St.;","Austin","TX",78701,"409 East Fifth St. Austin TX 78701",-97.7391386,30.2657578
"Rene Anguiano","Dawn to Dusk","Eustasio Cepeda Branch","651 North Pleasant Valley  Rd.;","Austin","TX",78702,"651 North Pleasant Valley  Rd. Austin TX 78702",-97.7088905,30.2590471
"T. Paul Hernandez","Sanctuary of the Tribal Alligator","Hill Elementary School Park","8601 Tallwood Dr.;","Austin","TX",78759,"8601 Tallwood Dr. Austin TX 78759",-97.7486864,30.3766434
"Pio Pulido","Dove and the Leaves of Healing","EMS Station #4","1201 Webberville Rd.;","Austin","TX",78721,"1201 Webberville Rd. Austin TX 78721",-97.684188,30.2782729
"Virginia Fleck","Lamina Groove","Deep Eddy EMS Station #17","Veterans Drive;","Austin","TX",NA,"Veterans Drive Austin TX ",-97.7707208,30.2750302
"Beverly Penn","Threshold Project","St. John's Multipurpose Center","Corner of Blessing and Wheatly Ave.;","Austin","TX",NA,"Corner of Blessing and Wheatly Ave. Austin TX ",-97.6922599,30.3331577
"Katherine Brimberry","Personal Effects III","Learning & Research Center","2800  Star of Texas Rd.;","Austin","TX",78719,"2800  Star of Texas Rd. Austin TX 78719",-97.8066293,30.2665587
"David Santos","Lou Neff Point Gazebo","Town Lake Hike and Bike Trail","South Bank at Barton Creek;","Austin","TX",78704,"South Bank at Barton Creek Austin TX 78704",-97.7909992,30.2399123
"R. Murray Legge","Elevated Prairie","Central/East Austin Police/Forensics Lab","812 Springdale Road;","Austin","TX",78702,"812 Springdale Road Austin TX 78702",-97.7002459,30.2592327
"Margo Sawyer","Index for Contemplation","Austin Convention Center","500 East Cesar Chavez St.;","Austin","TX",78701,"500 East Cesar Chavez St. Austin TX 78701",-97.7394833,30.2636408
"David Heymann","Doctor Pangloss","Household Hazardous Waste Collection Facility","3810 Todd Lane;","Austin","TX",NA,"3810 Todd Lane Austin TX ",-97.7371592,30.213382
"Will Larson","Discovery","Daniel E. Ruiz Branch Library","1600 Grove Blvd;","Austin","TX",78704,"1600 Grove Blvd Austin TX 78704",-97.7070109,30.2298616
"Douglas Jaques","Vision","City Municipal Building","124 West Eighth St.; 3rd Floor;","Austin","TX",78701,"124 West Eighth St. 3rd Floor Austin TX 78701",-97.7429508,30.270515
"Phil Martin","Untitled","Southeast Austin Community Branch","5803 Nuckols Crossing;","Austin","TX",78744,"5803 Nuckols Crossing Austin TX 78744",-97.7419605,30.1876224
"Robert Herrera","For La Raza","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Dale Whistler","Playmates","Town Lake Animal Center","1156 W. Cesar Chavez St.;","Austin","TX",78703,"1156 W. Cesar Chavez St. Austin TX 78703",-97.7593014,30.2698458
"Sandra Fiedorek","Doctor Pangloss","Household Hazardous Waste Collection Facility","3810 Todd Lane;","Austin","TX",NA,"3810 Todd Lane Austin TX ",-97.7371592,30.213382
"Arlene Polite","Printing","Learning & Research Center","2800  Star of Texas Rd.;","Austin","TX",78719,"2800  Star of Texas Rd. Austin TX 78719",-97.8066293,30.2665587
"Andrea Legge","Elevated Prairie","Central/East Austin Police/Forensics Lab","812 Springdale Road;","Austin","TX",78702,"812 Springdale Road Austin TX 78702",-97.7002459,30.2592327
